country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
United Kingdom,UK,GBR,66647112,2020-W38,2020-09-13,2020-09-19,2,,
Belgium,BE,BEL,11455519,2020-W37,2020-09-06,2020-09-12,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W37,2020-09-06,2020-09-12,5,,
Cyprus,CY,CYP,875899,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W37,2020-09-06,2020-09-12,4,1,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W37,2020-09-06,2020-09-12,1,,
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W37,2020-09-06,2020-09-12,,0,
Germany,DE,DEU,83019213,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W37,2020-09-06,2020-09-12,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W37,2020-09-06,2020-09-12,0,0,
Latvia,LV,LVA,1919968,2020-W37,2020-09-06,2020-09-12,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,,0,
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W37,2020-09-06,2020-09-12,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W37,2020-09-06,2020-09-12,40,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W37,2020-09-06,2020-09-12,1,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W37,2020-09-06,2020-09-12,8,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W37,2020-09-06,2020-09-12,,0,
United Kingdom,UK,GBR,66647112,2020-W37,2020-09-06,2020-09-12,2,,
Belgium,BE,BEL,11455519,2020-W36,2020-08-30,2020-09-05,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W36,2020-08-30,2020-09-05,5,,
Cyprus,CY,CYP,875899,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W36,2020-08-30,2020-09-05,3,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W36,2020-08-30,2020-09-05,0,,
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,,0,"TESSy COVID-19, national weekly data"
